epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,12744.5,2.63356,2.53394,1.64647,1.01759,0.41177,0.38114,0.36486,0.18064,0.39375,0.36879,0.35396,0.16534,2.51056,2.59504,1.65144,1.01838,0.00125442,0.00125442,0.00125442
52,12998.8,2.6259,2.51124,1.63904,1.0163,0.39219,0.3863,0.35149,0.16879,0.37169,0.36482,0.33633,0.15401,2.49419,2.59296,1.63393,1.01083,0.00124617,0.00124617,0.00124617
53,13252.6,2.65951,2.56751,1.64662,1.01164,0.41749,0.37529,0.35531,0.17279,0.41094,0.37594,0.35207,0.16115,2.53727,2.61859,1.6937,1.02903,0.00123791,0.00123791,0.00123791
54,13498.5,2.61811,2.52597,1.63616,1.01243,0.44379,0.3884,0.35652,0.1703,0.40655,0.36874,0.33355,0.15152,2.48398,2.5682,1.6123,1.00512,0.00122966,0.00122966,0.00122966
55,13750.3,2.65598,2.56011,1.65787,1.01665,0.39478,0.39436,0.34574,0.17536,0.36322,0.37877,0.3299,0.15502,2.46764,2.62269,1.61857,1.01214,0.00122141,0.00122141,0.00122141
56,13998.5,2.63013,2.51923,1.63213,1.01199,0.4066,0.39269,0.35998,0.16841,0.36683,0.37211,0.33359,0.153,2.49932,2.59339,1.64203,1.00209,0.00121316,0.00121316,0.00121316
57,14242.2,2.62351,2.53233,1.61452,1.00911,0.41678,0.40533,0.37493,0.18336,0.39861,0.39036,0.36532,0.16853,2.49725,2.59153,1.60615,1.01605,0.00120491,0.00120491,0.00120491
58,14490.4,2.62559,2.52926,1.63255,1.01292,0.3822,0.41109,0.36712,0.18165,0.36618,0.39013,0.35476,0.16177,2.51204,2.66315,1.65388,1.01681,0.00119666,0.00119666,0.00119666
59,14737.2,2.62077,2.52422,1.61252,1.00883,0.48084,0.38519,0.38916,0.19018,0.46841,0.36218,0.37366,0.17893,2.48169,2.56188,1.63125,1.01217,0.0011884,0.0011884,0.0011884
60,14983.3,2.60513,2.48881,1.62485,1.00584,0.40348,0.38179,0.35449,0.17226,0.39575,0.33855,0.33353,0.1566,2.47138,2.59199,1.67162,1.00685,0.00118015,0.00118015,0.00118015
61,15235.1,2.61668,2.51318,1.62188,1.0067,0.43882,0.40898,0.38473,0.19699,0.42069,0.38607,0.36711,0.1769,2.4993,2.60628,1.64414,1.00609,0.0011719,0.0011719,0.0011719
62,15486,2.63444,2.52853,1.62638,1.0064,0.42637,0.41336,0.38351,0.19368,0.40052,0.39665,0.36452,0.1741,2.47027,2.56593,1.59246,1.0084,0.00116365,0.00116365,0.00116365
63,15731,2.61347,2.5046,1.62152,1.01075,0.4386,0.38695,0.37644,0.18498,0.41398,0.36365,0.36011,0.17166,2.45852,2.55219,1.59195,1.00163,0.0011554,0.0011554,0.0011554
64,15972.9,2.609,2.48395,1.63712,1.00555,0.41867,0.40631,0.38876,0.19041,0.3898,0.37934,0.36339,0.17483,2.4698,2.56334,1.60189,1.00428,0.00114715,0.00114715,0.00114715
65,16230.8,2.60326,2.50499,1.61801,1.00569,0.41606,0.38722,0.3763,0.18914,0.38152,0.35808,0.3526,0.16978,2.4493,2.5384,1.58941,1.00502,0.00113889,0.00113889,0.00113889
66,16487.6,2.6192,2.51661,1.61069,1.00943,0.42542,0.41384,0.39306,0.1919,0.38812,0.38632,0.3686,0.17624,2.46933,2.58518,1.61564,1.01786,0.00113064,0.00113064,0.00113064
67,16744.4,2.5846,2.48944,1.59514,1.00369,0.43497,0.39223,0.37921,0.19125,0.38798,0.38574,0.36176,0.17289,2.46447,2.56254,1.61759,1.01202,0.00112239,0.00112239,0.00112239
68,16997.6,2.58931,2.48206,1.61159,1.01321,0.45345,0.39365,0.39199,0.19732,0.47491,0.34224,0.36248,0.1753,2.45437,2.57018,1.59612,1.0028,0.00111414,0.00111414,0.00111414
69,17251,2.5765,2.48486,1.59007,0.99968,0.38202,0.4139,0.36467,0.17318,0.35965,0.39965,0.35634,0.15702,2.45457,2.56424,1.59698,1.00348,0.00110589,0.00110589,0.00110589
70,17504.3,2.58306,2.4881,1.61327,1.00274,0.46342,0.38213,0.387,0.19087,0.42926,0.35653,0.36467,0.17399,2.44756,2.56424,1.61088,1.01505,0.00109764,0.00109764,0.00109764
71,17759.8,2.60238,2.5031,1.60224,1.00117,0.44042,0.39095,0.39292,0.19388,0.41439,0.38028,0.37765,0.17769,2.4403,2.5541,1.59287,1.00813,0.00108938,0.00108938,0.00108938
72,18015.4,2.58711,2.48292,1.5922,1.00066,0.44264,0.39814,0.38168,0.19234,0.41701,0.36082,0.35462,0.16976,2.44696,2.54463,1.60845,1.00116,0.00108113,0.00108113,0.00108113
73,18272,2.59102,2.50688,1.60342,1.00334,0.42371,0.3984,0.38443,0.18967,0.38655,0.38031,0.36461,0.17005,2.43964,2.56482,1.6063,1.00577,0.00107288,0.00107288,0.00107288
74,18526.6,2.5641,2.45124,1.57854,1.00294,0.47334,0.38506,0.38903,0.19132,0.44036,0.36459,0.37069,0.17632,2.48131,2.55838,1.59009,1.01139,0.00106463,0.00106463,0.00106463
75,18785.7,2.6127,2.49775,1.59596,1.00712,0.413,0.42751,0.39408,0.19409,0.38253,0.40009,0.3738,0.18502,2.46075,2.54345,1.60345,1.00678,0.00105638,0.00105638,0.00105638
76,19040.8,2.59321,2.50702,1.60167,1.00747,0.48768,0.35638,0.3749,0.18847,0.45834,0.3261,0.35447,0.16568,2.43908,2.59586,1.59821,1.00326,0.00104813,0.00104813,0.00104813
77,19296.3,2.58663,2.49415,1.60131,1.01039,0.41642,0.3868,0.37599,0.17994,0.36962,0.39525,0.36572,0.1716,2.48724,2.63407,1.65773,1.02124,0.00103987,0.00103987,0.00103987
78,19554.5,2.5923,2.45691,1.59571,0.99828,0.43811,0.39641,0.38294,0.1913,0.40364,0.37137,0.36421,0.17288,2.43453,2.52458,1.58113,0.99192,0.00103162,0.00103162,0.00103162
79,19815.1,2.57482,2.45806,1.56937,0.99891,0.47698,0.39373,0.39649,0.20078,0.44204,0.36844,0.37518,0.18053,2.43058,2.52256,1.57555,0.99694,0.00102337,0.00102337,0.00102337
80,20071.1,2.58576,2.50893,1.60198,1.00103,0.47694,0.3698,0.37174,0.17946,0.45181,0.3496,0.3471,0.15476,2.43333,2.54979,1.6206,1.00146,0.00101512,0.00101512,0.00101512
81,20330,2.5676,2.44495,1.58227,1.00385,0.46739,0.3908,0.39606,0.19105,0.45573,0.36266,0.37338,0.16891,2.41464,2.53299,1.58792,0.99481,0.00100687,0.00100687,0.00100687
